file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,13
style.css,54,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,31
style.css,55,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,8
style.css,56,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,15
style.css,57,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,0
style.css,58,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,0
style.css,59,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,6
style.css,60,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,18
style.css,61,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,18
style.css,62,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,0
style.css,63,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,0
style.css,64,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,5
style.css,65,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,9
style.css,66,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,18
style.css,67,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,11
style.css,68,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,14
style.css,69,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,13
style.css,70,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,22
style.css,71,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,22
style.css,72,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,18
style.css,73,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,0
style.css,74,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,0
style.css,75,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,7
style.css,76,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,19
style.css,77,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,19
style.css,78,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,13
style.css,79,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,46
style.css,80,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,12
style.css,81,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,12
style.css,82,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,18
style.css,83,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,15
style.css,84,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,0
style.css,85,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,0
style.css,86,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,13
style.css,87,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,25
style.css,88,css,f613ec35,KevinMyo,2025-01-17,17:09:31,-08:00,2025-01-17T17:09:31-08:00,0,0
style.css,89,css,0e928fc9,KevinMyo,2025-01-17,15:17:56,-08:00,2025-01-17T15:17:56-08:00,0,0
style.css,90,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,10
style.css,91,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,13
style.css,92,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,59
style.css,93,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,8
style.css,94,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,15
style.css,95,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,18
style.css,96,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,97,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,0
style.css,98,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,18
style.css,99,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,13
style.css,100,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,27
style.css,101,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,16
style.css,102,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,25
style.css,103,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,22
style.css,104,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,18
style.css,105,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,12
style.css,106,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,40
style.css,107,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,108,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,0
style.css,109,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,13
style.css,110,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,9
style.css,111,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,17
style.css,112,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,16
style.css,113,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,114,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,115,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,14
style.css,116,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,15
style.css,117,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,12
style.css,118,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,17
style.css,119,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,120,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,0
style.css,121,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,12
style.css,122,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,17
style.css,123,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,16
style.css,124,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,125,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,126,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,18
style.css,127,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,13
style.css,128,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,27
style.css,129,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,16
